nama_vga,harga_vga
PNY GeForce RTX 2060 SUPER,409.0
PNY GeForce RTX 3070,549.0
PNY GeForce GTX 1650 SUPER,434.0
PNY GeForce GTX 1660 SUPER,239.0
PNY GeForce 8400 GS,131.0
PNY GeForce GT 1030,89.0
PNY GeForce GT 610,121.0
PNY GeForce GT 710,49.0
PNY GeForce GTX 1050 Ti,249.0
PNY GeForce GTX 550 Ti,287.0
PNY GeForce GTX 560,379.0
PNY GeForce GTX 570,648.0
PNY GeForce GTX 580,1022.0
PNY GeForce GTX 650,276.0
PNY GeForce GTX 650 Ti,316.0
PNY GeForce GTX 650,349.0
PNY GeForce GTX 660 Ti,613.0
PNY GeForce GTX 660,479.0
PNY GeForce GTX 670,864.0
PNY GeForce GTX 680,1177.0
PNY GeForce GTX 770,799.0
PNY GeForce GTX 780 Ti,749.0
PNY GeForce GTX 980 Ti,1400.0
PNY Quadro 2000D,119.0
PNY Quadro NVS 295,189.0
PNY Quadro 400,41.0
PNY Quadro 4000,149.0
PNY Quadro 4000,226.0
PNY Quadro 410,92.0
PNY Quadro NVS 420,113.0
PNY Quadro NVS 450,117.0
PNY Quadro NVS 450,117.0
PNY Quadro 5000,196.0
PNY Quadro 6000,299.0
PNY Quadro FX 1800,89.0
PNY Quadro GP100,8899.0
PNY Quadro GV100,10418.0
PNY Quadro K1200,269.0
PNY Quadro K1200,255.0
PNY Quadro K2000,149.0
PNY Quadro K2000D,109.0
PNY Quadro K2200,137.0
PNY Quadro K4000,265.0
PNY Quadro K420,50.0
PNY Quadro K4200,199.0
PNY Quadro K5000,289.0
PNY Quadro K5000,855.0
PNY Quadro K5200,1794.0
PNY Quadro K6000,899.0
PNY Quadro M2000,269.0
PNY Quadro M5000,638.0
PNY Quadro P1000,355.0
PNY Quadro P2000,499.0
PNY Quadro P2200,403.0
PNY Quadro P400,117.0
PNY Quadro P4000,797.0
PNY Quadro P5000,1699.0
PNY Quadro P600,209.0
PNY Quadro P6000,6999.0
PNY Quadro P620,185.0
PNY Quadro RTX 4000,900.0
PNY Quadro RTX 5000,1893.0
PNY Quadro RTX 6000,3777.0
PNY Quadro RTX 8000,5126.0
PNY GeForce GTX 1080,1060.0
